id,name,link,popularity,service_level,latency,test,category,subscribers,version,description,website,created,updated,reviewers,creator_name,creator_link,pricing_basic_price,pricing_basic_period,pricing_basic_requests,pricing_basic_features,pricing_basic_rate_limit,pricing_pro_price,pricing_pro_period,pricing_pro_requests,pricing_pro_features,pricing_pro_rate_limit,pricing_ultra_price,pricing_ultra_period,pricing_ultra_requests,pricing_ultra_features,pricing_ultra_rate_limit,pricing_mega_price,pricing_mega_period,pricing_mega_requests,pricing_mega_features,pricing_mega_rate_limit,discussions,discussions_answered,discussions_avg_msgs,pricing_basic,pricing_pro,pricing_ultra,pricing_mega
0f4752fe-4e8f-4cb3-b4c1-7207c7dcf4f1,Adyen,https://rapidapi.com/zakutynsky/api/Adyen,,,,,Payments,42,1,"Making payments easy gives you a competitive edge. Adyen’s platform lets you expand quickly, manage risk, and track results – one platform, one partner, no hassle.",https://adyen.com,,2018-07-03T10:08:21.871Z,0,Igor Zakutynsky,https://rapidapi.com/user/zakutynsky,$0.00,mo,,,1000 requests per hour,,,,,,,,,,,,,,,,1.0,0.0,0.0,$0.00/mo,,,
5a019b2ee4b0c95e003b5ea0,Tabela Fipe Simples,https://rapidapi.com/JhowJhoe/api/tabela-fipe-simples,,,,,Other,86,v1,"Tabela FIPE Simples

Carros, Motos e Caminhões.
 
Atualizada, diretamente do site da www.fipe.org.br todos os dias.

Tabela Fiple Simples JQUERY/PHP",https://www.agencia3web.com,,2020-11-02T09:44:41.709Z,0,,https://rapidapi.com/user/JhowJhoe,$0.00,mo,"Suporte 24x7 - 0 / Month - + $0 | Requests - 500,000 / Month - Hard Limit",,1000 requests per hour,,,,,,,,,,,,,,,,0.0,0.0,0.0,$0.00/mo,,,
5a019ca2e4b06b4ed0ef5de6,ApiFlash,https://rapidapi.com/apiflash/api/apiflash,,,,,Communication,57,v1,Chrome based screenshot API running on AWS Lambda. Easily convert URLs to pixel perfect images.,https://apiflash.com,,2019-02-20T10:11:25.910Z,0,,https://rapidapi.com/user/apiflash,$0.00,mo,"Requests - 500,000 / Month - Hard Limit",,1000 requests per hour,,,,,,,,,,,,,,,,1.0,0.0,0.0,$0.00/mo,,,
5a04f12de4b09ee1ff54768a,Botometer Pro,https://rapidapi.com/OSoMe/api/botometer-pro,9.8,96.0,757.0,96.0,Social,5995,v1,Botometer X® checks Twitter accounts for possibly automated activity.,https://botometer.osome.iu.edu/,,2024-06-26T13:37:55.082Z,10,Observatory on Social Media,https://rapidapi.com/user/OSoMe,$0.00,mo,Botometer X - 50 / Month - Hard Limit | Check account - 500 / Day - Hard Limit | BotometerLite - -,Botometer X Check accounts in bulk using Botometer X | Check account,1000 requests per hour,$0.00,mo,"Botometer X - 50 / Day - + $0.01 | Check account - 2,000 / Day - + $0.001 | BotometerLite - -",Botometer X Check accounts in bulk using Botometer X | Check account,-,$50.00,mo,"Botometer X - 250 / Day - + $0.01 | Check account - 17,280 / Day - + $0.001 | BotometerLite - 200 / Day - + $0.01",Botometer X Check accounts in bulk using Botometer X | Check account | BotometerLite,-,,,,,,90.0,0.0,2.022222222222222,$0.00/mo,$0.00/mo,$50.00/mo,
5a05f4a2e4b06d2e9b6d019a,Algorithm,https://rapidapi.com/java2blog/api/algorithm,6.2,100.0,458.0,100.0,Education,167,v1,This API is for algorithms solving,http://www.java2blog.com,,2019-02-20T10:11:26.012Z,0,Arpit Porwal,https://rapidapi.com/user/java2blog,$0.00,mo,Requests - 0 / Month - + $0,,1000 requests per hour,,,,,,,,,,,,,,,,0.0,0.0,0.0,$0.00/mo,,,
5a05f873e4b06b4ed0ef6783,java,https://rapidapi.com/java2blog/api/java,,,,,Other,67,v1,This API provides java tutorials,https://www.java2blog.com/core-java-tutorial-for-beginners-experienced/,,2024-02-25T13:54:15.959Z,0,Arpit Porwal,https://rapidapi.com/user/java2blog,$0.00,mo,"Requests - 500,000 / Month - Hard Limit",,1000 requests per hour,,,,,,,,,,,,,,,,0.0,0.0,0.0,$0.00/mo,,,
5a062dd8e4b09ee1ff5478de,Cyber Security Degree Programs,https://rapidapi.com/jaybird/api/cyber-security-degree-programs,,,,,Other,26,v1,Top Online Cyber Security and Information Assurance Degrees and Resources for aspiring and current cyber security professionals.,https://www.cybersecuritydegrees.com,,2024-02-25T13:54:16.108Z,0,,https://rapidapi.com/user/jaybird,$0.00,mo,"Requests - 500,000 / Month - Hard Limit",,1000 requests per hour,,,,,,,,,,,,,,,,0.0,0.0,0.0,$0.00/mo,,,
5a090fa3e4b016767595da73,mojitok Stickers,https://rapidapi.com/mojitok/api/mojitok-stickers,,,,,Social,27,v1,"Mojitok Emoticons API provides stickers, emojis and gifs based on the text which users submit.",https://docs.mojitok.com,,2019-02-20T10:11:25.991Z,0,Mojitok Platfarm,https://rapidapi.com/user/mojitok,$0.00,mo,Requests - 100 / Day - + $0.01,"FREE stickers (1,000+)",,$99.00,mo,"Requests - 100,000 / Month - + $0.01",On-Demand Token | FREE stickers + 10 PAID sticker packs,,$999.00,mo,"Requests - 1,000,000 / Month - + $0.01","On-Demand Token | FULL access to 20,000+ Stickers",,,,,,,1.0,0.0,0.0,$0.00/mo,$99.00/mo,$999.00/mo,
5a0aa1b3e4b09ee1ff5480f3,supper_app,https://rapidapi.com/techtic.naitik/api/supper_app,7.1,100.0,633.0,100.0,Other,266,v1,"What’s for Supper? app helps users by providing them with a means to figure out what
can be cooked based on entering the available ingredients in the household
WFS? is presented with an animated video splash screen intro page upon open
WFS? users can register through the app or through authentic Facebook login
WFS? aims to be a free app trial for 30 days and offers an In-App Purchase of $.99
cents for full use of the app including additional In-App Purchases for more features
GPS Integration will allow users directions to all nearby supermarkets and groceries
What’s for Supper? Allows users to create custom family and allergy profiles
WFS? camera feature will allow users to snap photos of food that can be added to the
app for determining best dishes to make including recipes and nutritional information
WIFI or Data connection is required for What’s for Supper? real time results",,,2019-02-20T10:11:26.116Z,0,Naitik Mulashiya,https://rapidapi.com/user/techtic.naitik,$0.00,mo,"Requests - 500,000 / Month - Hard Limit",,1000 requests per hour,,,,,,,,,,,,,,,,0.0,0.0,0.0,$0.00/mo,,,
5a0d5c43e4b0a5e0bc5dda42,BMS Recommender Systems for E-Commerce,https://rapidapi.com/inoor.shaik/api/bms-recommender-systems-for-e-commerce,0.2,0.0,127258.0,0.0,Travel,127,v1,"BMS-API-Similar Items API is a Fashion/E-commerce API, that will result all similar items across the database based on the Input Material.",http://www.bmsmain.com/ai-and-machine-learning/,,2019-02-20T10:11:26.171Z,0,,https://rapidapi.com/user/inoor.shaik,$0.00,mo,"Requests - 500,000 / Month - Hard Limit",API Results,1000 requests per hour,$10.00,mo,Requests - 20 / Day - + $0.01,API Results,-,,,,,,,,,,,3.0,0.0,0.0,$0.00/mo,$10.00/mo,,
5a155f69e4b06bd8892caa8b,DeltaGain - UK Company Data and Accounts,https://rapidapi.com/deltagain/api/deltagain-uk-company-data-and-accounts,6.4,100.0,767.0,100.0,Business,9,v1,"[BETA] Company Information for UK registered Companies inlcuding Company Financial Accounts, Mortages and Charges, Officers, Persons with Significant Controll, Shareholders, Group Structures and now - UK Land Owersnhip.  Accounts may contain a variety of financial information including Balance Sheet and Profile and Loss information.  Drop us a line with your use-case and API suggestions!

DeltaGain has over 4 Million companies in the database and approximately 10 million account records for o...",https://www.deltagain.co.uk,,2023-02-26T20:43:04.509Z,0,,https://rapidapi.com/user/deltagain,$0.00,mo,Accounts - 10 / Month - + $0.1 | Control - 10 / Month - + $0.1 | 2 : Advanced Company Info - 5 / Month - + $0.2 | Basic - 5 / Month - + $0.1,,1 requests per second,$500.00,mo,Accounts - 100 / Month - + $0.1 | Control - 100 / Month - + $0.1 | 2 : Advanced Company Info - 50 / Day - + $0.2 | Basic - 150 / Day - + $0.1,,1 requests per second,"$5,000.00",mo,"accounts - - | control - - | 2 : Advanced Company Info - 500 / Day - + $0.2 | Basic - 2,000 / Day - + $0.1",,-,,,,,,3.0,0.0,0.0,$0.00/mo,$500.00/mo,"$5,000.00/mo",
5a169be5e4b06bd8892cad24,Find Your Facebook ID,https://rapidapi.com/shashitechno/api/find-your-facebook-id,,,,,Tools,26,v1,Find Your Facebook ID in two simple steps! - http://findmyfbid.in,https://findmyfbid.in,,2019-05-06T06:49:26.814Z,0,,https://rapidapi.com/user/shashitechno,$5.00,mo,"Requests - 2,000 / Day - + $0.01",,,$10.00,mo,"Requests - 10,000 / Day - + $0.01",,,$25.00,mo,"Requests - 20,000 / Day - + $0.01",,,,,,,,0.0,0.0,0.0,$5.00/mo,$10.00/mo,$25.00/mo,
5a16e564e4b0218e3e35d382,IATA and ICAO,https://rapidapi.com/leopieters/api/iata-and-icao,0.3,100.0,2124.0,0.0,Travel,3135,v1,"Powerful aviation APIs. The data includes flight tracking, real-time and historical airport schedules, airline routes, IATA and ICAO databases, airports, airlines, autocomplete and much more!",https://aviation-edge.com,,2021-07-01T06:07:33.922Z,8,leopieters,https://rapidapi.com/user/leopieters,$0.00,mo,Requests - 0 / Month - + $0,,1000 requests per hour,,,,,,,,,,,,,,,,20.0,0.0,0.1,$0.00/mo,,,
5a1fdd6de4b07e6c1dd20b15,HTML to PDF,https://rapidapi.com/proapi/api/html-to-pdf,6.1,100.0,59.0,100.0,Business,10,v1,"Convert HTML Webpages to beautiful PDF-Files. Create PDF-Invoices, Documents or Flyers right from your App with our high quality PDF converter.",,,2019-02-20T10:11:26.395Z,0,,https://rapidapi.com/user/proapi,$0.00,mo,Pages - 100 / Month - + $0.25,Just like in the Browser | Unlimited Pages | Unlimited Resources | Ready for printing,,$9.95,mo,"Pages - 1,000 / Month - + $0.05",Just like in the Browser | Unlimited Pages | Unlimited Resources | Ready for printing,,$49.00,mo,"Pages - 10,000 / Month - + $0.005",Just like in the Browser | Unlimited Pages | Unlimited Resources | Ready for printing,,$199.00,mo,"Pages - 100,000 / Month - + $0.0005",Just like in the Browser | Unlimited Pages | Unlimited Resources | Ready for printing,,9.0,0.0,0.0,$0.00/mo,$9.95/mo,$49.00/mo,$199.00/mo
